co,name,reg_name,code,pop,lat,lon
co,albania,Albania,23,,4.4666667,-75.7166667
co,albania,Albania,24,,5.4094444,-75.90861109999999
co,albania,Albania,26,810.0,5.7613889,-73.9177778
co,albania,Albania,27,,9.25,-75.2333333
co,albania,Albania,28,,3.3397222,-75.0205556
co,albanio,Albanio,17,,11.1597222,-72.58555559999999
co,albergue,Albergue,6,,5.7166667,-73.2166667
co,alberto duran,Alberto Durán,21,,7.6833333,-72.7
co,albornoz,Albornoz,4,,10.566666699999999,-75.0166667
co,albornoz,Albornoz,5,,10.366666699999998,-75.5166667
co,albornoz,Albornoz,29,,3.8266667,-76.37472220000001
co,albricias,Albricias,4,,10.55,-74.8
co,alcala,Alcalá,3,,6.5,-71.0333333
co,alcala,Alcalá,21,,8.091388900000002,-72.3833333
co,alcala,Alcalá,29,9135.0,4.6747222,-75.7825
co,alcala,Alcalá,33,,5.1,-74.16666670000001
co,alcantarilla,Alcantarilla,20,,0.9494444,-77.7413889
co,alcaparral,Alcaparral,6,,5.633333299999999,-73.0
co,alcayata,Alcayata,28,,3.6122222,-75.3158333
co,alcazar,Alcázar,4,,10.7833333,-75.16666670000001
co,alcibia,Alcibia,5,,10.416666699999999,-75.5166667
co,alcivar,Alcivar,20,,1.7333333,-78.5
co,aldana,Aldana,20,1956.0,0.8861110999999999,-77.7033333
co,aldea,Aldea,2,,6.595,-75.9147222
co,aldea de maria,Aldea de María,20,,0.9166667,-77.5333333
co,alegria,Alegría,1,,-2.6166667,-70.08333329999999
co,alegrias,Alegrías,2,,5.5511111,-75.6133333
co,alegrias,Alegrías,7,,5.3,-75.5
co,alegrias,Alegrías,24,,4.7530556,-75.67277779999999
co,alegrias,Alegrías,29,,4.0833333,-75.85
co,alejandria,Alejandría,2,2725.0,6.3811111,-75.1444444
co,alejandria,Alejandría,6,,5.5666667,-73.93166670000001
co,alejandria,Alejandría,7,,5.1666667,-75.66666670000001
co,alejandria,Alejandria,18,,10.133333300000002,-73.9833333
co,alejandria,Alejandría,28,,4.0061111,-75.5641667
co,alejandria,Alejandria,29,,3.7680556000000003,-76.0586111
co,alejandria,Alejandría,33,,4.7666667,-74.16666670000001
co,alejandro bernate,Alejandro Bernate,28,,4.1833333,-74.75
co,alemania,Alemania,2,,6.4788889,-74.7713889
co,alemania,Alemania,7,,4.9666667,-75.83333329999999
co,alemania,Alemania,12,,8.6772222,-75.8641667
co,alemania,Alemania,16,,2.4241667000000002,-75.845
co,alemania,Alemania,18,,10.0333333,-74.35
co,alemania,Alemania,21,,8.230555599999999,-72.38416670000001
co,alemania,Alemania,26,,5.856388900000001,-73.9816667
co,alemania,Alemania,27,,8.55,-74.75
co,alemania,Alemania,33,,4.7841667,-73.6772222
co,ales,Ales,20,,1.1666667,-77.4833333
co,alferez,Alferéz,5,,9.7166667,-75.16666670000001
co,alferez,Alférez,27,,8.85,-75.08333329999999
co,alfonso lopez,Alfonso López,2,,5.8958333,-75.9572222
co,alfonso lopez,Alfonso López,9,,2.2166667,-77.7
co,alfonso lopez,Alfonso López,12,,8.4,-74.91666670000001
co,alfonso lopez,Alfonso López,20,,1.25,-77.4833333
co,alfonzo lopez,Alfonzo López,2,,5.8958333,-75.9572222
co,algarrabo,Algarrabo,32,,5.7333333,-71.9333333
co,algarrobal,Algarrobal,18,,9.1302778,-74.0411111
co,algarrobal,Algarrobal,27,,9.75,-75.3833333
co,algarrobillito,Algarrobillito,10,,10.3,-73.2666667
co,algarrobo,Algarrobo,2,,6.7508333,-75.9175
co,algarrobo,Algarrobo,3,,6.4333333,-71.5238889
co,algarrobo,Algarrobo,4,,10.65,-75.15
co,algarrobo,Algarrobo,5,,8.4666667,-74.5
co,algarrobo,Algarrobo,6,,5.6833333,-72.4833333
co,algarrobo,Algarrobo,7,,5.0725,-75.5841667
co,algarrobo,Algarrobo,10,,10.183333300000001,-74.05
co,algarrobo,Algarrobo,12,,9.1,-75.45
co,algarrobo,Algarrobo,18,10042.0,10.1869444,-74.5752778
co,algarrobo,Algarrobo,21,,8.4111111,-73.2697222
co,algarrobo,Algarrobo,26,,7.4333333,-73.23527779999999
co,algarrobo,Algarrobo,31,,4.0947222000000005,-70.8544444
co,algarrobo,Algarrobo,32,,4.5666667,-71.9833333
co,algeciras,Algeciras,16,10792.0,2.5263888999999997,-75.32055559999999
co,algodonal,Algodonal,4,,10.35,-74.9333333
co,algodonal,Algodonal,21,,8.2,-73.3166667
co,algodonal,Algodonal,32,,5.25,-72.15
co,algodoncillo,Algodoncillo,12,,9.266666699999998,-75.55
co,algodones,Algodones,33,,4.7041667,-73.3641667
co,algorrobo,Algorrobo,12,,9.1,-75.45
co,alianza,Alianza,1,,-2.8833333,-69.7666667
co,alianza,Alianza,9,,2.25,-76.8666667
co,alibisu,Alibisú,5,,10.166666699999999,-75.25
co,alibizu,Alibizú,5,,10.166666699999999,-75.25
co,alicante,Alicante,2,,6.616666700000001,-74.6
co,alicante,Alicante,18,,10.65,-74.2333333
